STM intensity,Long,Lat
12.768,-89.125,27.25
4.433,-88.062,27.25
4.187,-84.375,28.375
8.833,-92.5,26.688
10.237,-89.125,28.375
7.018,-88.312,26.438
5.414,-84.625,27.25
5.781,-83.312,26.438
7.801,-96.688,26.438
9.285,-89.375,25.312
3.719,-95.125,27.562
6.981,-84.625,29.5
4.464,-90.125,25
4.402,-86.75,29.812
4.877,-92.25,27
5.067,-91.75,28.375
4.8,-85.188,28.688
13.301,-87.812,28.938
6.061,-83.312,26.688
6.891,-86.75,29.5
4.555,-87,28.688
5.637,-86.25,29.25
4.18,-92,27.562
6.168,-93.562,27.812
8.322,-96.438,26.438
9.186,-91.438,27.562
1.78,-96.688,27.562
9.165,-96.438,25
13.325,-90.125,27.562
3.527,-88.312,28.938
4.404,-82.562,25
3.612,-97,26.438
11.469,-95.938,26.688
9.26,-82.812,25
7.285,-86.75,29.812
5.071,-85.688,26.438
6.284,-92.25,27.812
8.728,-87.25,29.5
2.549,-96.688,27
10.61,-95.938,25.312
9.537,-95.688,26.438
3.1,-96.688,25.562
3.463,-90.938,25.875
14.901,-92.75,27.562
10.346,-84.625,27.812
15.047,-89.375,27.562
12.744,-87.562,29.25
17.095,-96.438,26.688
12.311,-87.25,29.5
8.238,-90.125,25
13.629,-88.062,29.25
13.087,-91.438,27.562
5.91,-86.5,28.688
14.094,-95.375,27.25
11.025,-89.875,28.125
7.961,-87.562,26.688
10.079,-95.938,27.562
2.554,-97.25,25
12.627,-84.125,26.438
3.709,-97,25
5.181,-84.625,25.875
11.635,-90.688,27.812
1.831,-91.188,25
8.464,-86.25,26.438
5.641,-86.25,26.125
10.009,-83.312,25
4.951,-96.438,25.875
4.857,-84.125,25
8.864,-90.688,27.812
11.546,-85.938,28.938
2.732,-82.812,25
1.774,-96.688,27.562
4.496,-83.875,28.938
2.453,-97,25
8.511,-95.125,27.562
8.178,-84.625,28.688
3.485,-84.125,26.438
5.016,-92,25
6.627,-90.438,26.688
1.217,-87.562,30.062
1.881,-97,25
1.346,-97,25
9.736,-93.562,27.812
8.728,-87,29.812
5.123,-86.5,28.125
4.654,-92.25,28.125
2.296,-97,26.688
5.742,-93.562,27.25
1.962,-88.562,25
11.96,-92.25,26.125
4.681,-94.875,27.562
8.471,-96.188,26.438
4.178,-83.875,27.562
1.524,-95.375,27.25
13.003,-93.062,26.125
4.483,-96.688,25
3.052,-97,25
4.806,-82.812,25
2.768,-81.75,25
9.204,-91.188,27.812
7.391,-95.375,28.375
6.054,-91.75,28.125
4.81,-89.375,25
6.237,-83.312,27.25
6.82,-83.062,25
3.998,-85.438,25
3.893,-93.812,25.312
6.818,-96.688,27.562
7.695,-85.438,28.938
2.935,-94.875,26.688
8.625,-93.562,25
2.438,-96.688,25
5.166,-96.188,25.312
1.753,-88.562,25.562
4.252,-83.062,27.25
1.679,-83.875,29.5
4.399,-85.938,29.25
4.459,-88.875,25.312
11.643,-90.938,25.312
4.668,-95.375,25
5.479,-89.375,27.562
3.314,-84.625,28.688
5.839,-86.75,28.688
4.732,-84.375,29.5
4.661,-90.688,27.25
6.323,-89.625,28.375
4.922,-94.062,25
12.033,-92.25,26.438
1.637,-88.562,25
6.987,-84.125,28.688
4.028,-83.312,25
8.101,-90.125,28.125
13.146,-94.625,27.562
3.951,-93.062,25
7.602,-89.875,28.375
9.545,-95.688,27.562
5.409,-97,25
5.808,-93.812,26.688
2.458,-89.625,26.438
9.956,-83.062,25.312
9.685,-84.625,27.812
4.493,-92.75,27.562
9.653,-96.688,25
3.185,-87.25,29.812
3.835,-87.562,28.938
1.257,-97,25
11.167,-83.062,25
3.976,-96.438,25
3.724,-96.688,25
7.919,-92,27.562
4.725,-87,29.5
13.076,-87.562,29.25
2.598,-87.812,28.125
3.384,-82,25
3.346,-87.812,29.25
7.774,-90.938,27.562
6.02,-84.938,25
3.408,-82,25
4.048,-89.875,28.375
5.719,-94.375,25
12.153,-95.375,27
7.614,-83.625,27.25
5.724,-93.812,26.688
1.639,-88.062,25
6.974,-86.5,25.875
3.481,-96.688,25
1.727,-95.938,25
5.375,-83.312,26.438
2.584,-84.375,27.812
3.358,-90.938,25.875
6.757,-85.188,27.25
5.099,-82.562,25.875
4.787,-88.062,25.312
12.552,-87,27.25
6.64,-83.062,25.875
7.435,-97,25
2.548,-90.125,28.688
1.633,-93.312,25
5.78,-88.562,29.25
4.802,-87.25,29.25
4.106,-96.688,25
2.787,-96.688,25
2.431,-96.688,25
4.709,-90.438,28.375
1.89,-97,25
2.496,-87.812,28.938
9.169,-89.375,28.688
3.565,-85.438,28.125
12.555,-93.562,27.812
6.231,-90.125,28.125
3.931,-86.75,29.25
5.439,-90.938,27.812
3.863,-97,25
9.045,-92.25,26.438
2.137,-82.812,25
5.257,-91.188,28.125
3.088,-96.688,25
4.551,-94.625,28.938
5.234,-87.562,29.25
6.223,-83.625,25
3.799,-96.438,25.875
2.584,-83.875,27.812
10.957,-88.312,28.688
2.944,-85.188,28.688
14.591,-93.562,26.438
4.876,-95.938,25
6.104,-93.812,28.375
2.895,-85.438,26.125
3.217,-95.125,28.938
10.96,-91.75,26.125
6.285,-82.312,25
4.627,-86.5,29.5
14.905,-89.125,28.375
4.303,-88.875,27.562
8.454,-84.125,29.25
1.484,-94.062,28.688
6.599,-83.625,25
12.806,-96.438,25
2.818,-92.25,25
4.778,-83.062,25
5.511,-96.188,27.562
7.018,-83.875,25.875
13.267,-88.312,27.562
4.307,-86.25,27.812
9.008,-89.125,26.125
3.181,-83.875,25.312
5.392,-85.938,27.812
10.322,-96.188,27.562
6.646,-95.125,25
3.27,-91.188,25
10.33,-93.812,28.375
2.136,-93.312,25
9.808,-85.188,28.125
1.959,-89.625,25
7.429,-93.062,27.562
4.261,-86.5,25.312
12.176,-90.438,27.562
4.316,-97.25,25
12.422,-86.25,29.5
4.119,-84.938,28.125
2.982,-87.25,27.812
9.944,-95.688,25.562
3.264,-97,26.688
2.5,-92.25,25
3.676,-93.062,29.25
7.911,-90.688,27.812
3.708,-92.75,28.938
3.585,-95.125,28.125
13.185,-87.812,28.688
13.362,-95.688,26.125
2.886,-93.312,29.5
2.835,-93.062,25
7.945,-93.062,26.125
1.613,-82,25
6.175,-83.312,25
3.799,-83.062,27.25
4.13,-93.562,29.25
7.664,-94.375,28.375
4.478,-96.688,25.875
2.548,-94.062,27
3.15,-82.562,26.125
8.185,-91.438,28.125
10.851,-87,29.812
8.783,-90.125,28.375
11.146,-85.438,25.562
5.526,-92,27.562
3.519,-94.062,28.688
3.343,-82.812,25
4.011,-88.562,29.5
2.501,-88.312,26.125
8.753,-89.125,28.688
14.284,-96.688,25
8.965,-84.625,26.125
3.654,-94.875,28.688
5.946,-92.5,28.125
6.365,-93.812,27.562
2.815,-96.688,25
4.778,-95.688,25
2.72,-94.062,25.875
13.046,-89.375,27.812
4.884,-95.375,27
3.838,-96.688,25
6.991,-86.5,29.812
4.206,-84.375,29.5
3.873,-84.125,25
8.511,-85.938,25.875
7.345,-86.5,30.062
2.964,-97.25,25
1.495,-82.812,26.438
14.176,-87.25,29.5
5.614,-93.812,25.312
2.962,-97,25
7.979,-89.875,28.125
5.318,-88.062,29.812
4.316,-95.375,27.812
10.447,-86.5,29.25
6.275,-94.062,27.812
3.16,-88.875,27.812
11.123,-87.812,28.938
4.46,-82.812,25
10.749,-95.688,26.125
5.206,-82.812,25
4.151,-82.812,25
4.036,-96.688,25.312
9.784,-84.625,26.125
5.612,-86.75,29.25
2.794,-94.375,28.125
4.295,-94.875,28.688
5.757,-85.938,29.812
5.554,-82.812,26.125
2.383,-87,29.5
5.449,-94.625,28.688
4.947,-88.312,29.25
8.867,-88.062,27
12.865,-89.875,26.125
6.131,-89.875,28.688
7.235,-95.125,28.375
8.844,-96.188,25.875
4.303,-93.812,26.688
2.799,-83.875,28.125
4.52,-92.5,25
8.028,-82.312,26.125
4.784,-84.625,28.125
16.152,-88.062,28.688
3.948,-91.188,27
7.938,-85.938,28.125
1.57,-97,27.562
11.039,-86.25,28.688
11.566,-96.438,25
16.302,-89.125,28.688
14.674,-91.75,27.562
2.964,-85.188,28.688
11.234,-82.312,25
5.841,-84.625,27.812
6.181,-84.938,25
3.387,-95.375,27.562
4.434,-96.688,25
4.03,-94.375,29.25
2.956,-83.625,27.812
2.986,-84.375,28.125
5.086,-95.688,25
8.88,-96.188,25.875
3.27,-93.062,29.5
3.285,-82.312,25.562
14.076,-89.125,28.375
13.639,-91.75,27.812
2.457,-95.375,27.812
5.133,-95.375,25
