x,y,marks.cause,marks.burnt.area,marks.date
-0.26882927,0.17437495,intentional,1.01,03/01/2004
-0.524625695,-0.3756251,accident,1.5,07/01/2004
-0.407436585,-0.52562505,intentional,0.4,07/01/2004
0.59516,-0.080905,accident,1,07/01/2004
0.630970805,0.02437495,accident,0.01,07/01/2004
-0.06782997,0.52437505,accident,1.8,07/01/2004
-0.011234165,0.52437505,accident,0.22,07/01/2004
-0.623826055,0.12437505,intentional,1.5,07/01/2004
-0.3180297,0.274375,accident,1,07/01/2004
0.49505001,-0.39550005,accident,43,08/01/2004
-0.17542508,-0.17562495,intentional,15,08/01/2004
0.124774775,-0.2256251,intentional,4.5,08/01/2004
-0.40563771,-0.52562505,intentional,5,08/01/2004
-0.22502546,-0.425625,intentional,3,08/01/2004
-0.17222708,-0.62562495,lightning,0.01,08/01/2004
-0.475025315,0.12437505,intentional,3.5,08/01/2004
0.604735015,0.07009995,accident,0.02,08/01/2004
0.07857247,0.274375,lightning,0.04,08/01/2004
0.31662999,0.42083005,lightning,0.8,08/01/2004
0.3263737,0.424375,lightning,0,08/01/2004
0.18399494,0.35111505,lightning,0.25,08/01/2004
0.204374995,0.606375,accident,0.4,08/01/2004
-0.71003474,0.17437495,accident,0.58,08/01/2004
-0.123226525,-0.12562505,intentional,1.5,08/01/2004
-0.87500537,0.17437495,intentional,0.8,08/01/2004
-0.17302658,0.12437505,accident,0.4,08/01/2004
-0.22462571,-0.02562495,accident,12,08/01/2004
-0.17022833,0.17437495,accident,3,08/01/2004
-0.3180297,-0.02562495,accident,1,08/01/2004
-0.220028585,-0.12562505,accident,4,08/01/2004
-0.66763006,0.274375,intentional,20,08/01/2004
-0.12382615,-0.17562495,other,1.5,09/01/2004
-0.623826055,-0.0756251,other,0.43,09/01/2004
-0.011299925,0.18256005,accident,1.53,09/01/2004
0.44156406,0.2243751,accident,0.04,09/01/2004
0.489459905,0.0577249,lightning,0.01,09/01/2004
0.476060085,0.0427301,lightning,0,09/01/2004
0.36971999,0.19036995,lightning,0.02,09/01/2004
0.07078494,0.078385,intentional,3.43,09/01/2004
0.125974025,0.874375,intentional,0.01,09/01/2004
-0.225225335,0.02437495,accident,0.15,09/01/2004
-0.666231135,0.2243751,accident,0.01,09/01/2004
-0.02302659,0.17437495,accident,1,09/01/2004
-0.32162745,0.17437495,accident,0.03,09/01/2004
-0.112433275,0.17437495,accident,3,09/01/2004
-0.47282669,0.2243751,accident,5,09/01/2004
-0.42362626,0.2243751,intentional,5,09/01/2004
-0.471427565,0.274375,intentional,22,09/01/2004
-0.47122769,0.274375,other,6,09/01/2004
-0.719029115,0.274375,intentional,0.06,09/01/2004
0.17577408,-0.3756251,accident,1,10/01/2004
-0.403838835,-0.52562505,intentional,4,10/01/2004
-0.46842944,-0.52562505,intentional,15,10/01/2004
0.175574205,0.62437495,intentional,0.02,10/01/2004
-0.70763624,0.17437495,accident,0.2,10/01/2004
-0.707436365,0.17437495,accident,0.1,10/01/2004
-0.825045415,0.2243751,accident,4,10/01/2004
-0.07142772,0.12437505,intentional,1,10/01/2004
-0.071227845,0.12437505,intentional,0.5,10/01/2004
-0.373026705,0.17437495,accident,8,10/01/2004
0.72597399,0.12437505,accident,1,13/01/2004
0.67757286,-0.0756251,accident,0.05,15/01/2004
0.72717324,0.02437495,accident,0.05,18/01/2004
0.726173865,0.0743751,accident,0.1,18/01/2004
0.17032509,-0.18774995,accident,0.6,20/01/2004
0.521565025,-0.07824005,accident,0.03,21/01/2004
0.00030002,0.6857999,intentional,1,21/01/2004
0.128372525,0.62437495,accident,1,21/01/2004
0.1285724,0.62437495,intentional,0.1,21/01/2004
0.69265003,-0.2639649,accident,3,23/01/2004
0.22119008,-0.63120005,accident,0.08,23/01/2004
0.700560085,-0.26389995,accident,0.3,27/01/2004
-0.172027205,0.0743751,accident,0.1,28/01/2004
0.726173865,0.12437505,intentional,0.05,29/01/2004
0.38164993,-0.74826005,accident,0.15,02/02/2004
0.727373115,0.02437495,accident,0.01,03/02/2004
0.221,-0.53185995,accident,0.01,07/02/2004
-0.020827965,-0.12562505,accident,1.5,07/02/2004
-0.120828025,-0.47562495,intentional,1.5,07/02/2004
0.235265075,0.3270049,accident,2.1,07/02/2004
-0.01103429,0.52437505,accident,0.01,07/02/2004
-0.07382622,0.724375,accident,0.15,07/02/2004
0.06458502,0.672235,accident,0.02,07/02/2004
-0.272826765,0.02437495,intentional,0.04,07/02/2004
-0.667430185,0.0743751,accident,0.5,07/02/2004
-0.51603127,0.274375,accident,1,07/02/2004
-0.47362619,0.32437495,intentional,1.5,07/02/2004
-0.62362618,0.12437505,intentional,1.5,07/02/2004
0.224774835,-0.3756251,lightning,10.08,08/02/2004
0.475774065,-0.67562505,lightning,0.01,08/02/2004
0.43064009,-0.75331505,lightning,0.01,08/02/2004
-0.405437835,-0.52562505,other,15,08/02/2004
-0.524625695,-0.425625,accident,0.3,08/02/2004
0.326573575,0.424375,lightning,2.5,08/02/2004
0.331275035,0.457655,lightning,4,08/02/2004
0.470995055,0.40113995,lightning,0,08/02/2004
0.32757295,0.52437505,lightning,0.01,08/02/2004
0.1309709,0.3743751,lightning,0.01,08/02/2004
0.476173815,0.52437505,lightning,0.01,08/02/2004
0.471164945,0.66292005,lightning,1.2,08/02/2004
-0.00983504,0.52437505,accident,0.28,08/02/2004
0.08687508,0.7008751,accident,82.63,08/02/2004
0.40361499,0.64989495,lightning,0.01,08/02/2004
-0.06663072,0.52437505,intentional,3.1,08/02/2004
0.3271732,0.574375,lightning,0.01,08/02/2004
0.43593498,0.685675,lightning,0.01,08/02/2004
0.02537434,0.82437505,accident,0.01,08/02/2004
-0.709834865,0.17437495,accident,0.02,08/02/2004
-0.27182739,-0.12562505,accident,25,08/02/2004
-0.771027795,0.12437505,accident,86.8,08/02/2004
-0.671027935,0.02437495,intentional,46,08/02/2004
-0.62402593,-0.2256251,intentional,0.5,09/02/2004
0.24734592,0.1815051,lightning,0.04,09/02/2004
0.441763935,0.2243751,lightning,0.06,09/02/2004
0.483604965,0.02633495,lightning,0.22,09/02/2004
0.44196381,0.2243751,accident,0.12,09/02/2004
0.576173875,0.2243751,lightning,0.02,09/02/2004
0.35184497,0.27803995,accident,0.03,09/02/2004
0.442163685,0.2243751,lightning,0.02,09/02/2004
0.01676992,0.63441505,intentional,0.7,09/02/2004
0.40154009,0.61175005,lightning,0.01,09/02/2004
0.406470005,0.6346651,lightning,0.01,09/02/2004
-0.271227765,-0.12562505,intentional,6,09/02/2004
-0.373426455,0.17437495,accident,0.1,09/02/2004
-0.472626815,0.2243751,accident,0.6,09/02/2004
0.26542002,-0.54746,accident,8.4,10/02/2004
-0.46603114,-0.32562495,intentional,2.5,10/02/2004
-0.40363896,-0.52562505,intentional,5,10/02/2004
0.28880999,0.22349505,accident,0.72,10/02/2004
0.382020095,0.0369551,accident,0.98,10/02/2004
0.38262492,-0.0829649,accident,29.4,10/02/2004
-0.07422597,0.62437495,accident,0.01,10/02/2004
-0.77442567,0.0743751,accident,0.09,10/02/2004
-0.874965395,0.17437495,accident,3.5,10/02/2004
-0.074026095,0.02437495,accident,1,10/02/2004
-0.77042817,0.12437505,intentional,0.07,10/02/2004
-0.02342634,-0.02562495,accident,0.5,10/02/2004
-0.718629365,0.274375,accident,0.5,10/02/2004
-0.671827435,0.12437505,accident,0.05,10/02/2004
-0.21862946,-0.12562505,intentional,3.5,10/02/2004
-0.825025425,0.2243751,accident,0.3,10/02/2004
0.34675495,-0.72422505,accident,0.27,11/02/2004
0.07537447,0.52437505,intentional,0.5,13/02/2004
0.72994491,-0.46427505,accident,1.5,14/02/2004
0.47677344,-0.725625,accident,0.05,14/02/2004
-0.075225345,0.67437485,accident,0.51,14/02/2004
0.54540492,-0.2233751,accident,0.01,16/02/2004
-0.1234264,-0.12562505,accident,0.15,17/02/2004
-0.01383254,0.52437505,accident,0.05,18/02/2004
-0.013632665,0.52437505,accident,0.1,18/02/2004
0.024774715,0.32437495,intentional,0.02,18/02/2004
0.02537434,0.7743749,accident,0.17,18/02/2004
0.076773595,0.3743751,other,1,19/02/2004
-0.224026085,0.2243751,intentional,5,29/02/2004
0.42493446,-0.725625,other,0.2,02/03/2004
-0.52202732,-0.67562505,accident,0.15,06/03/2004
0.126373775,-0.3756251,other,0.9,06/03/2004
-0.22382621,0.2243751,accident,0.25,06/03/2004
-0.02062809,-0.12562505,intentional,1,07/03/2004
-0.40723671,-0.52562505,intentional,8,07/03/2004
-0.220828085,-0.12562505,accident,40,07/03/2004
-0.711034115,0.17437495,accident,4,07/03/2004
-0.374225955,0.17437495,accident,0.01,07/03/2004
-0.515831395,0.274375,accident,0.2,07/03/2004
-0.07462572,0.02437495,other,0.05,07/03/2004
-0.072027345,0.12437505,accident,0.5,07/03/2004
0.514520035,-0.66924505,lightning,0.09,08/03/2004
-0.21902921,-0.2256251,accident,0.5,08/03/2004
0.075174595,-0.12562505,accident,0.6,08/03/2004
-0.019228965,-0.12562505,accident,7,08/03/2004
-0.317030325,-0.275625,intentional,3,08/03/2004
-0.40523796,-0.52562505,accident,0.01,08/03/2004
0.42877226,0.32437495,lightning,0.01,08/03/2004
0.432569885,0.52437505,lightning,0,08/03/2004
0.675169965,0.04458495,lightning,0,08/03/2004
0.320794985,0.2380849,lightning,0.01,08/03/2004
0.460664915,0.57446495,lightning,0.03,08/03/2004
0.131170775,0.3743751,lightning,0.16,08/03/2004
-0.70963499,0.17437495,intentional,0.7,08/03/2004
-0.709435115,0.17437495,intentional,18,08/03/2004
0.425835095,-0.4289649,lightning,1.5,09/03/2004
